client_id,total_revenue,revenue_share_%,payment_count,avg_gap,recency,volatility,revenue_trend,revenue_drop_ratio,avg_payment_delay,churn_label,STAGE,RISK_%,PREDICTIVE_CLV,PRICE_STRATEGY
C001,532741.64,2.9769061752195825,54.0,33.43396226415094,29.0,0.7546497177027426,-3.0711553268535976,0.8701703934824526,0.0,0,ACTIVE,8.8,1917869.9,Maintain Rate
C002,618505.1499999999,3.456143958336191,67.0,27.424242424242426,9.0,0.7324527476878295,46.73024463245274,1.1848477084706643,0.0,0,GROWING,8.4,3092525.75,Premium Rate (+15%)
C003,89960.45,0.5026898575649774,62.0,29.688524590163933,13.0,0.6281630413179597,1.0634501775326577,1.1475185634257754,0.0,0,ACTIVE,9.2,323857.62,Maintain Rate
C004,215142.51000000004,1.2021944944480798,68.0,27.119402985074625,0.0,0.8109415113971911,5.480926251097427,1.2498403215254759,0.0,0,ACTIVE,8.0,774513.04,Maintain Rate
C005,146572.51999999996,0.8190323547930206,67.0,27.0,20.0,0.7936907804334474,-1.5370045494452853,1.2881220552641424,0.0,0,ACTIVE,9.2,527661.07,Maintain Rate
C006,44794.10999999999,0.2503049370656764,65.0,27.71875,31.0,0.645419912702403,0.978556381118879,1.1355985968901545,0.0,0,ACTIVE,9.6,161258.8,Maintain Rate
C007,444427.69000000006,2.4834167924241375,67.0,27.227272727272727,13.0,0.8357612268809207,13.2986682895682,0.6461736305169187,0.0,0,GROWING,9.6,2222138.45,Premium Rate (+15%)
C008,524064.2,2.928417521843253,65.0,27.5625,23.0,0.7952437093120086,-14.08867963286711,1.0095855687252386,0.0,0,DECLINING,9.2,1257754.08,Reduce Rate 10%
C009,414640.43,2.316968608954057,64.0,28.904761904761905,1.0,0.8840469543428556,12.0175853937729,1.36143765174611,0.0,0,GROWING,12.8,2073202.15,Premium Rate (+15%)
C010,448758.42000000016,2.507616471803825,62.0,29.42622950819672,11.0,0.7918560324020874,13.121525018256865,1.2205702511914764,0.0,0,GROWING,8.4,2243792.1,Premium Rate (+15%)
